"Actores","Director","Genero","Descripcion","Anho","Titulo"
"Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman",,"Crime, Drama, Mystery, Thriller","A famous 'psychic' outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find 'Red John', the madman who killed his wife and daughter.","23 Sep 2008","The Mentalist"
"Alexander Skarsgård, James Ransone, Lee Tergesen, Jon Huertas",,"Drama, War","A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","13 Jul 2008","Generation Kill"
"David Attenborough, Sigourney Weaver",,"Documentary","Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.","25 Mar 2007","Planet Earth"
"Peter Krause, Julianna Margulies, Peter Jacobson, Dennis Christopher",,"Action, Fantasy, Mystery, Sci-Fi","A detective investigates a mysterious motel room, which acts as a portal to an alternate universe.","11 Dec 2006","The Lost Room"
"Matt Smith, David Tennant, Peter Capaldi, Jenna Coleman",,"Adventure, Drama, Family, Mystery, Sci-Fi","The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.","17 Mar 2006","Doctor Who"
"Rainn Wilson, John Krasinski, Jenna Fischer, Leslie David Baker",,"Comedy","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","24 Mar 2005","The Office"
"Jared Padalecki, Jensen Ackles, Misha Collins",,"Drama, Fantasy, Horror, Mystery, Thriller","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","13 Sep 2005","Supernatural"
"Timothy Olyphant, Ian McShane, Molly Parker, Brad Dourif",,"Crime, Drama, History, Western","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","21 Mar 2004","Deadwood"
"Charles Durning, Douglas Seale, Louis Giambalvo, Sharon Spelman",,"Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Truly amazing, fantastical, funny, and odd, and sometimes scary, sad, and endearing stories are portrayed. Many famous actors, actresses, and directors made guest appearances.","29 Sep 1985","Amazing Stories"
"Sonoya Mizuno, Nick Offerman, Jin Ha, Zach Grenier",,"Drama, Mystery, Sci-Fi, Thriller","A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","05 Mar 2020","Devs"
"Jude Law, John Malkovich, Silvio Orlando, Cécile de France",,"Drama","Two Popes. Only one Vatican. A holy war to come.","13 Jan 2020","The New Pope"
"Ben Mendelsohn, Bill Camp, Jeremy Bobb, Mare Winningham",,"Crime, Drama, Mystery, Thriller","Investigators are confounded over an unspeakable crime that's been committed.","12 Jan 2020","The Outsider"
"Tom Payne, Lou Diamond Phillips, Halston Sage, Aurora Perrineau",,"Crime, Drama, Mystery, Thriller","Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.","23 Sep 2019","Prodigal Son"
"Emraan Hashmi, Sobhita Dhulipala, Jaideep Ahlawat, Shishir Sharma",,"Action, Adventure, Drama, Thriller","Political espionage thriller based on 'Bard of Blood,' by Bilal Siddiqi.","27 Sep 2019","Bard of Blood"
"Kaitlyn Dever, Toni Collette, Merritt Wever, Blake Ellis",,"Crime, Drama","Based on the true story of Marie, a teenager who was charged with lying about having been raped, and the two female detectives who followed the path to the truth.","13 Sep 2019","Unbelievable"
"Mj Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel",,"Drama","Pose is set in the world of 1987 and 'looks at the juxtaposition of several segments of life and society in New York: the rise of the luxury universe, the downtown social and literary scene and the ball culture world.'","03 Jun 2018","Pose"
